start	end	text
0	5333	备案号：1
10250	13750	交一个确定可以信任的人类朋友
13833	15916	并告知你的妖精身份
16250	19083	在七月初三之后打开任务三
19333	22083	和你的朋友一起完成任务三
22666	24166	这就是你的第二个任务？
25166	27666	不过这么看来你的任务二已经完成了呀
29666	32166	也就是说 小黑可以留在这里啦？
33750	35916	还要一起做任务！好棒！
36000	37833	哈哈，我也没想到
38000	40833	不过为什么会特地让你找人类一起完成呢？
41166	42916	小白可以完成么？
43083	46833	任务设定的时候有没有想到小白是个十岁的小学生昵？
47500	49916	我不行的话，就哥哥来帮小黑呗
50250	52250	好像也没有规定人数什么的
52583	53583	到时候就知道了
54000	56083	七月初三，就是明天了
57000	58583	小黑能完全变成人形么？
58666	59833	还不行
59916	61500	那平时还是保持猫形态吧
61916	64750	你的自发还有猫耳被其他人看到总会问起的
65833	67083	不可以戴橙子吗？
67833	69500	那还是猫形态比较自在
70083	72333	馆长不是说过可以找么人形师吗？
72666	73750	那毕竟是外物
74166	76750	我还是可以凭借的自己努力慢慢变好的
78250	80833	我觉得这样比完全的人形可爱呢！
80916	89166	哈哈~
89250	91083	我知道，这不还早嘛
91666	92583	阿？ 等一下！
92666	93416	约！
93500	94500	你怎么过来啦？
94916	96000	怕你出状况阿
96250	97583	你一定还没准备吧？
98000	100083	没啊，不是还有一个多小时么？
100416	101250	我就知道
101750	102916	可以提早进去的
103250	105500	我不来你肯定赶不上跟我同步登陆
105833	107166	来，交给我吧
110083	111500	你没带你的机器来么？
111583	114250	不用阿，一台可以四个人同时玩呢
114833	115833	哥哥也一起玩吧！
116083	117750	山新说这个可好玩啦
118000	119166	澳？叫什么啊
122833	123750	哥哥你知道？
124000	127083	嗯，在某个地方看到过，好像有点意思
127166	128083	那就一起来吧
128833	130250	小黑，你也来玩吧
134500	137750	哼哼，你们一定也期待很久了吧？
138833	140500	你们知道这是什么游戏么？
141583	143250	你们知道它有多火爆么？
144083	145833	你们到底是怎么得到限量版的！！
147000	148583	算了，我们直接来吧
149000	151000	一人一个接收器，你们先戴好
157250	159000	主机要先连接上网络
159333	161833	设定为登录房间统
162250	164916	好瀚，九点半就可以开放设定了
170500	172250	这游戏要躺在床上玩
172500	174916	躺好后按一下边上这个按键就可以了
175166	176916	下的进去后再跟你们说
177000	189583	恩！
189666	192166	您好，欢迎来到众生之门
193083	194750	请说出您的用户名
198500	200500	请选择您的角色种族
201583	202916	这么多啊 .....
203500	205500	埃？这些不者都是动物吗
205916	208750	是的，这是众生之门的游戏特色
209083	210833	那选完之后还能改吗
211083	213916	账号未注销的情况下，不能更改
214166	218750	唔那我还是先选人族吧
219500	223666	您希望设定新形象，还是按您自己的样貌生成呢？
224416	225583	按自己生成吧
227416	229083	是否需要更换服装
229166	231000	不用啦，这样就行啦
234166	236416	嗯 ？
236750	237500	小鸡？
237666	238583	是小鸟啦！！！
238750	239416	山新？？
240083	241666	您是香建立附属账号？
242750	246000	这是根据您韵特情况而设置的特别选项
247250	249750	好的，欢迎您来到众生之门
250083	252666	请在联机平合等待游戏开始
254416	255083	哥哥！
255583	257500	啊？小黑？你也来啦？
257750	261250	夷？神奇哪啊， 原来猫也能玩么？
261750	265083	这倒是个新发现，早知道我就带着皇受了
266083	267000	话说
267250	269333	你们都选了人形啊，多没意思阿
270500	273416	我不知道会怎样啊，这是什么游戏啊
273500	275500	就是人虚拟现实游戏啊
275666	279416	能完美还原大家的五感，追求虚拟的真实效果
280833	282416	这也太真实了吧
283000	284333	等下要做什么呢？
284416	285083	不知道
286000	287833	要等游戏开服了才能知道
287916	289833	这游戏什么内容都没有透露
290333	293416	日只是光凭这个革新的游戏类型， 就卖疯了
293916	296166	所以这次开是官常轰动
296500	298083	000000 你们一点都没有感觉到么
299916	300750	没有
302000	304083	果然是隔行如隔山呐
304166	304333	现在这个游戏即将揭开面纱了！
304416	306500	现在这个游戏将揭升面纱广！
306583	309250	而且竟然是可以选择不同的生物进行游戏
309333	310916	我早就想变成鸟试试了！！！
312583	314083	：
314166	316250	不过好像很难 飞起来啊
316416	318166	这真的是游戏么？
318666	321583	好神奇啊，感觉就是真的 一样呢
321916	324333	嗯，但是疼痛感很轻
327000	329166	这到底是怎么做到的呢
330333	331833	欢迎来到众生之门
332250	334666	在下是本游戏的向导，MT
335000	337666	下面田我米为各位进行游戏说明
338083	340666	本游戏是一个全新开放的世界
341000	343750	具体玩法请在游戏过程中探索
343833	345833	并关注官方网站的更新
346333	349000	在游戏升始之前只有一点需要强调
349250	351333	就是关于游戏里的 生命 概念
351833	354000	这是游戏前必须知道的规则
354583	358666	角色死亡后 着干秒内没有接受复活类技能的施救
358750	358750	-
358833	360333	该角色将被注销
360416	361583	什么门注销 ?
362333	365166	是的，本游戏角色与真人对应
365333	365583	每人人只能拥有 一个角色
365666	367166	每个人只能拥有一个角色
367666	371166	角色死亡注销后，会直接刷新成一个新角色
371583	375833	新角色经过三十分钟的冷却时间后才能再次进入游
375916	378916	啊阿好严重的死亡惩罚
379000	379583	对吧
379916	381916	呢不是很懂
382916	386916	另外， 在心里默念」升便可以呼出操作界面
390083	391500	为了优化游戏体验
391750	394333	此界面仅同小队成员相互可见
394750	396583	如果各位没有么问题的话
396916	399416	可以道时确认为准备完毕状态
399666	402250	十点一到， 便可止式进入游戏了
402666	404083	啊阿？没教程么？
404166	405166	@ 是的
405250	406333	@
有点意思
406416	407750	登陆后不要走散了
408083	409666	估计登录点人会非常多
409833	412250	在没有熟悉操作之前应该还挺危险的
412583	414416	找们人已经是默认好友了
414916	416916	就算走散了， 也可以用定位找回来
417000	417250	1/1
417500	419000	名字下面是经验槽
419166	420333	赞满就会升级
420416	421750	开级可以得到技能点
421833	422833	用来学习技能
423500	426833	还有任务栏。 应该可以在这里接任务，现在是空的
427500	430000	商城 ....现在没什么公东西
430333	431916	这边是战斗辅助系统
433000	434416	要进去才能了解了
435000	435833	没问题了吧
436250	437000	我们准备登录
437166	437666	嗯
438333	441000	啊对了， 登录没有服务器的选择么？
441250	444916	没有本游戏所有玩家， 都在一个服务器丙
445750	448750	刺激了， 这么多玩家居然都不分流的么
449416	450916	那现在登录吗?
451083	452333	好，登录吧！
459750	462000	1
473250	474000	我们这是在游戏里吗
474083	475333	我们这是....在游戏里吗
475416	475500	我们这是.在游戏里吗
475750	477333	嗯应该是了
486333	488250	不过怎么一个人都没有啊
498500	499916	怎么回事啊
502166	503416	山新你怎么了？
506416	507250	新消息？
512416	515666	这样才有真实感啊，鸟儿当然不会说话啦
516083	517833	哈哈哈哈哈哈哈哈
520000	522666	气死了我还是先熟悉一下操作吧
523583	525500	前只能显示三公里
526166	528750	也就是说，享 要先探索这人世界么？
530000	532250	小黑，你看不懂吧？我给你念
532666	533083	啊！
533250	533833	看到人了
537916	538750	跑了....
539750	540750	可能看我们人多
543000	544333	你有没有感觉到灵的存在？
547500	548416	啊真的
549000	549833	游戏里怎么会有灵？
550083	552833	我之前在妖精论坛里见过，所以想来试试
556583	558750	现在回是论坛里最火爆的话题呢
561250	563166	这是一款， 妖精的游戏
